time_bucket,supply_tx_count,withdrawal_tx_count,unique_suppliers,unique_withdraw_users,supply_amount_value_usd,supply_amount_value_eth,withdrawal_amount_value_usd,withdrawal_amount_value_eth
2025-12-01 06:00:00.000 UTC,495,599,299,321,667375804.8027896,235142.91202110762,125159005.29468234,44098.47527094735
2025-12-01 12:00:00.000 UTC,921,883,500,435,1771403110.4912097,635569.4076552825,1689080265.4401484,606030.2669784129
2025-12-01 18:00:00.000 UTC,713,623,358,316,273302316.8762153,98590.41895108085,448132579.88068455,161658.79820003296
2025-12-02 00:00:00.000 UTC,448,352,257,219,121775696.92789382,43453.68519231082,223887601.10142648,79890.65304587851
2025-12-02 06:00:00.000 UTC,475,402,261,222,104420856.22697379,37178.71724618023,115209929.76061568,41020.18425786441
2025-12-02 12:00:00.000 UTC,934,769,494,379,687587853.2111633,235714.95257264836,1653500199.915882,566999.6155112584
2025-12-02 18:00:00.000 UTC,624,495,344,235,193095368.97295174,64189.70605780858,142915915.0247332,47508.820947380824
2025-12-03 00:00:00.000 UTC,602,497,356,255,192247543.5903897,63442.65253256229,260359427.97829992,85920.1200329968
2025-12-03 06:00:00.000 UTC,664,513,355,267,322089094.6341702,105195.37778654907,175110617.56247,57191.63514457467
2025-12-03 12:00:00.000 UTC,713,604,405,339,184143582.9602886,59663.36556677964,255427127.664508,82759.73133160817
2025-12-03 18:00:00.000 UTC,655,478,370,260,206190534.9576996,65518.82120860171,83295234.2630131,26468.08228789663
2025-12-04 00:00:00.000 UTC,529,444,306,265,188752933.74794376,58923.51745281051,165698192.0204963,51726.41713132376
2025-12-04 06:00:00.000 UTC,495,416,322,257,164145390.4937307,51391.18951764967,188476318.38955116,59008.79055822753
2025-12-04 12:00:00.000 UTC,653,556,356,326,224744275.70261714,70680.13959821782,187939232.03435737,59105.17424460209
2025-12-04 18:00:00.000 UTC,473,316,288,210,90179142.78531584,28763.21971484227,115320169.48161717,36782.283647006996
2025-12-05 00:00:00.000 UTC,319,300,204,198,89989555.81242397,28434.75880495124,116996748.70815219,36968.465809766654
2025-12-05 06:00:00.000 UTC,522,438,291,239,158314323.39857736,50233.967611046115,228134186.95077488,72388.57077486409
2025-12-05 12:00:00.000 UTC,812,659,407,350,305582231.98534244,98744.96275026278,317213342.5564875,102502.65489357953
2025-12-05 18:00:00.000 UTC,574,485,321,256,1599465147.751983,528305.6678634201,392170887.61508185,129534.50565670434
2025-12-06 00:00:00.000 UTC,327,327,184,185,225375019.5087458,74337.29760849844,136336310.483268,44968.8493881516
2025-12-06 06:00:00.000 UTC,313,267,187,175,36361097.39783826,11987.350056426509,54121374.29683258,17842.477400031785
2025-12-06 12:00:00.000 UTC,443,350,240,206,79838762.01880495,26210.857810067304,112932334.07047287,37075.37505844306
2025-12-06 18:00:00.000 UTC,315,301,183,182,29491330.813315883,9691.412161160257,147817825.618097,48575.85358562866
2025-12-07 00:00:00.000 UTC,255,205,147,121,197953746.82993174,64917.1586283555,98081972.83996396,32165.09137177011
2025-12-07 06:00:00.000 UTC,225,215,161,153,17659266.94373422,5807.988052295344,44174198.18753237,14528.539499400644
2025-12-07 12:00:00.000 UTC,453,427,257,247,266216213.51191694,88086.98788238264,353767691.7452841,117057.76571107685
2025-12-07 18:00:00.000 UTC,465,352,238,215,333980912.49479234,107618.1920352152,388685537.6497715,125245.39345915327
2025-12-08 00:00:00.000 UTC,291,243,188,167,359227870.34026736,115762.51091560838,256864419.90130386,82775.32155421427
2025-12-08 06:00:00.000 UTC,405,354,258,238,226632678.81666595,72054.85221357264,175125753.14544642,55679.045667462524
2025-12-08 12:00:00.000 UTC,567,449,331,270,258405957.38948983,82605.42858536873,1199514377.8712747,383457.65835046454
2025-12-08 18:00:00.000 UTC,351,297,206,183,246297347.81726617,78764.08465968275,164461369.36137402,52593.732046002275
2025-12-09 00:00:00.000 UTC,336,308,202,183,156603421.81287017,50271.782223405615,72905859.48282303,23403.72524762602
2025-12-09 06:00:00.000 UTC,413,480,240,264,327494877.0511694,105163.9738302425,175497642.43636253,56355.15858066996
2025-12-09 12:00:00.000 UTC,908,769,486,422,223410280.01731905,69811.09375333386,354660527.4210837,110858.80691414006
2025-12-09 18:00:00.000 UTC,747,551,406,314,131990232.10120995,39500.1009758199,204461580.9385758,61188.884977826136
2025-12-10 00:00:00.000 UTC,379,403,222,240,151730913.42597553,45811.08397800444,204379699.71853423,61706.83821956402
2025-12-10 06:00:00.000 UTC,442,458,264,274,338921603.5522682,101955.71896150938,300420774.10269195,90373.75864667716
2025-12-10 12:00:00.000 UTC,585,462,323,279,164026924.86400035,49193.728912111575,163362799.39020336,48994.51901203691
2025-12-10 18:00:00.000 UTC,618,496,310,271,1258932391.013164,374005.78840429004,1224231743.226604,363698.2589367679
2025-12-11 00:00:00.000 UTC,539,451,288,267,186730718.90975404,57766.497442687534,134877996.07502258,41722.73873209872
2025-12-11 06:00:00.000 UTC,573,501,329,324,318747993.8214197,99576.47833199338,358795705.68436694,112087.34663719549
2025-12-11 12:00:00.000 UTC,688,462,389,299,246996258.3197305,77485.35728963985,166424423.70441315,52209.177095946565
2025-12-11 18:00:00.000 UTC,526,356,295,225,313915014.94695234,97303.86934321166,241395913.42409152,74825.07005846768
2025-12-12 00:00:00.000 UTC,365,300,221,197,143687622.33425498,44330.16797433343,48806538.15951534,15057.644743811368
2025-12-12 06:00:00.000 UTC,468,339,267,228,157384989.65402094,48451.51518815956,141856252.88161448,43670.94014506644
2025-12-12 12:00:00.000 UTC,779,615,389,347,205398374.09233376,64737.46077979559,298244412.4226558,93992.31324900809
2025-12-12 18:00:00.000 UTC,604,392,305,242,76000679.13877918,24642.997274551184,204817297.65341944,66411.45898374496
2025-12-13 00:00:00.000 UTC,345,260,183,152,184255243.49984702,59632.25619598178,125377167.77763264,40576.98708862373
2025-12-13 06:00:00.000 UTC,392,361,200,215,133950813.64599325,43057.79543768285,75468141.38997519,24258.735810993883
2025-12-13 12:00:00.000 UTC,446,290,269,191,85105361.0713226,27349.118663416222,31705851.819615986,10188.869232646457
2025-12-13 18:00:00.000 UTC,333,295,186,188,76082284.88727981,24467.471673536485,169797836.32855573,54605.68725647573
2025-12-14 00:00:00.000 UTC,240,175,130,112,103616738.70111789,33221.89718003608,23524343.71864431,7542.437287847894
2025-12-14 06:00:00.000 UTC,352,265,201,179,45652609.78445698,14677.741013825931,38187151.87861635,12277.521939379198
2025-12-14 12:00:00.000 UTC,464,428,266,272,1051815325.200304,340374.80869981623,56807256.37030832,18383.194788229335
2025-12-14 18:00:00.000 UTC,429,318,243,205,212928966.93668005,69038.49596624008,125019911.40033843,40535.74529561147
2025-12-15 00:00:00.000 UTC,431,305,193,184,164605452.51567855,52985.73017389003,26576530.637566626,8554.86799969241
2025-12-15 06:00:00.000 UTC,423,426,251,277,58885405.80820732,18740.99237390673,100607509.85539345,32019.60753433623
2025-12-15 12:00:00.000 UTC,809,822,422,479,315882433.04617137,102932.68639349937,282111152.36566985,91930.70824445189
2025-12-15 18:00:00.000 UTC,798,686,406,409,296293376.5380045,100728.21768867936,346574192.8797825,117821.51637202896
2025-12-16 00:00:00.000 UTC,572,497,273,283,313213186.26584214,106459.51325433841,316029969.08542526,107416.77439681398
2025-12-16 06:00:00.000 UTC,456,440,249,278,171671530.7266757,58453.028438111716,160961818.0868652,54806.546240326
2025-12-16 12:00:00.000 UTC,598,515,325,319,103463081.05368802,35160.273938732855,149865422.36676577,50929.40939922219
2025-12-16 18:00:00.000 UTC,466,346,248,203,46166962.580066465,15662.185339302343,42719639.58004102,14492.681475827148
2025-12-17 00:00:00.000 UTC,391,262,201,170,86450295.60210133,29329.09802422818,54702395.90234942,18558.343865109753
2025-12-17 06:00:00.000 UTC,425,363,233,253,63099758.11630076,21521.874399096494,101749333.52314606,34704.31765979966
2025-12-17 12:00:00.000 UTC,699,662,382,368,259808669.0559986,88984.2623643234,274173977.6929866,93906.50348343723
2025-12-17 18:00:00.000 UTC,695,604,342,343,184752600.90389487,65388.40544554427,156410385.54186755,55357.262139593666
2025-12-18 00:00:00.000 UTC,484,435,223,218,216369335.7415211,76376.74065863821,242041439.88303086,85438.79139500251
2025-12-18 06:00:00.000 UTC,587,467,285,246,169823319.21915978,59713.60191090867,104532585.02348395,36756.04751991129
2025-12-18 12:00:00.000 UTC,968,869,391,345,507448613.40377694,174095.56778489795,453736297.9493961,155671.82165713812
2025-12-18 18:00:00.000 UTC,739,650,346,312,341310236.94917417,121036.1555452709,117425724.8371759,41641.60587090636
2025-12-19 00:00:00.000 UTC,477,508,239,251,92425034.85650069,32253.810694653086,75278119.04997334,26270.892198975565
2025-12-19 06:00:00.000 UTC,537,547,273,295,132726321.10588446,45009.49051063218,125973446.33512251,42719.54544076311
2025-12-19 12:00:00.000 UTC,627,544,323,309,324049103.6016331,109157.44415941382,307527213.98142093,103592.11403874468
2025-12-19 18:00:00.000 UTC,447,372,216,194,310625003.3138101,104220.75703267407,129770601.72631949,43540.67214657646
2025-12-20 00:00:00.000 UTC,325,279,178,159,145418921.34282592,48764.094792991615,197523500.55549705,66236.57459464518
2025-12-20 06:00:00.000 UTC,352,353,194,216,282811473.2985216,94801.26759303335,297933983.0327171,99870.48690205629
2025-12-20 12:00:00.000 UTC,414,359,226,219,133236054.11155206,44716.70531068425,135102214.88290867,45343.05008969635
2025-12-20 18:00:00.000 UTC,351,300,168,176,87519776.2382596,29375.060705025993,71161640.08891332,23884.626313884943
2025-12-21 00:00:00.000 UTC,290,260,161,139,332376894.421138,111724.4040896922,291843915.7484549,98099.74213909321
2025-12-21 06:00:00.000 UTC,286,264,135,164,31967516.172579896,10693.566886208744,42347854.0635566,14165.944405693659
2025-12-21 12:00:00.000 UTC,443,359,224,212,86546165.63468587,29073.75719725275,99041308.65206856,33271.24858286645
2025-12-21 18:00:00.000 UTC,417,365,212,194,66833351.647299774,22359.00787174399,80724981.16122727,27006.40283431571
2025-12-22 00:00:00.000 UTC,431,405,215,209,94106643.22488147,31114.67440178371,104417329.19575821,34523.72585898887
