time_bucket,as_collateral_tx_count,as_debt_tx_count,liquidation_tx_count,unique_liquidated_users,unique_liquidators,liquidated_collateral_value_usd,liquidated_collateral_value_eth,liquidation_debt_covered_value_usd,liquidation_debt_covered_value_eth
2025-10-14 00:00:00.000 UTC,160,160,320,312,205,9572038.906674283,2493.032009675774,9064270.81190717,2360.6513090599015
2025-10-21 00:00:00.000 UTC,32,32,64,61,56,2396074.7275895323,606.8523608259375,2273974.5109568336,575.8069785429138
2025-10-28 00:00:00.000 UTC,149,149,298,292,200,4182541.0346718105,1104.1839085743509,3932244.957219778,1037.7998588189641
2025-11-04 00:00:00.000 UTC,613,613,1226,1204,418,99020381.57473612,29784.512191960126,93549196.85494061,28135.372107052342
2025-11-11 00:00:00.000 UTC,352,352,704,696,363,43296485.476623915,14054.694094417655,40760973.82676788,13231.631359856236
2025-11-18 00:00:00.000 UTC,861,861,1722,1690,644,103975637.63930419,37073.81504498526,97643304.15040813,34811.90324432763
2025-11-25 00:00:00.000 UTC,80,80,160,157,129,3781258.510211967,1282.6783853153365,3633160.0848271437,1232.3740224650371
2025-12-02 00:00:00.000 UTC,28,28,56,56,45,3848587.552983666,1318.84355409518,3584132.1257987143,1227.8545576593028
2025-12-09 00:00:00.000 UTC,63,63,126,125,98,3495785.241397688,1071.3861228169483,3356713.900923308,1028.1862811847602
2025-12-16 00:00:00.000 UTC,62,62,124,121,104,655315.8512905295,227.3127298339961,603602.4611760122,209.45301441583732
2025-12-23 00:00:00.000 UTC,23,23,46,44,42,88002.64142823749,30.06966884216073,83387.8195519588,28.493024311844767
2025-12-30 00:00:00.000 UTC,13,13,26,24,22,519416.54860656057,164.5765229945319,498448.7724946565,157.91856296460364
2026-01-06 00:00:00.000 UTC,21,21,42,41,35,605923.282410952,192.0438845899899,575692.4553917239,182.47775790112806
2026-01-13 00:00:00.000 UTC,36,36,72,71,60,4218301.588336514,1309.5525659970783,4075853.167551589,1265.4018852727138
2026-01-20 00:00:00.000 UTC,138,138,276,273,189,5397875.411885966,1764.4889989812523,5154121.344054687,1684.570697325239
2026-01-27 00:00:00.000 UTC,2526,2526,5052,4036,1185,179235767.00780168,74680.76761416261,168096949.07996228,70031.60077342139
2026-02-03 00:00:00.000 UTC,2976,2976,5952,5855,1361,242085393.444219,124706.65536515921,225320472.4978801,116050.70513573855
2026-02-10 00:00:00.000 UTC,55,55,110,103,102,1224997.3721152006,614.5221238655625,1159929.4004443747,581.8304159775527
2026-02-17 00:00:00.000 UTC,62,62,124,117,85,310599.36155963846,160.97291992928868,289296.59475926554,149.96890442818795
2026-02-24 00:00:00.000 UTC,99,99,198,191,139,8162043.895943223,4049.8330736445655,7762406.6075946065,3850.8018170569817
2026-03-03 00:00:00.000 UTC,67,67,134,129,101,5597731.491988459,2698.45638213752,5238880.161151694,2525.259755179614
2026-03-10 00:00:00.000 UTC,87,87,174,170,91,26686897.140976712,12832.699807011415,25637406.72930724,12329.225926305968
2026-03-17 00:00:00.000 UTC,88,88,176,166,133,901256.6896293557,415.98750562735216,845594.1319719709,390.05092945136636
2026-03-24 00:00:00.000 UTC,76,76,152,142,99,6969533.162063004,3460.9526230486763,6581251.339641302,3268.465769704428
